,person_age,person_gender,person_education,person_income,person_emp_exp,person_home_ownership,loan_amnt,loan_intent,loan_int_rate,loan_percent_income,cb_person_cred_hist_length,credit_score,previous_loan_defaults_on_file
30159,38.0,male,Associate,41579.0,14,RENT,5750.0,MEDICAL,11.01,0.14,16.0,647,Yes
6777,24.0,female,Associate,28052.0,3,RENT,7000.0,DEBTCONSOLIDATION,10.62,0.25,3.0,649,No
36563,28.0,female,Associate,63722.0,4,MORTGAGE,7000.0,EDUCATION,16.26,0.11,5.0,626,Yes
11784,26.0,male,Associate,91870.0,3,MORTGAGE,1200.0,PERSONAL,10.25,0.01,2.0,662,No
10370,22.0,male,Master,29550.0,0,RENT,10000.0,DEBTCONSOLIDATION,11.01,0.34,3.0,633,No
14473,24.0,male,High School,42549.0,1,RENT,2000.0,EDUCATION,10.59,0.05,3.0,659,Yes
10512,23.0,male,Bachelor,82752.0,5,MORTGAGE,1000.0,EDUCATION,8.0,0.01,3.0,695,No
7651,25.0,male,Bachelor,97337.0,3,RENT,6875.0,MEDICAL,11.86,0.07,2.0,590,Yes
32433,51.0,female,Associate,34474.0,29,RENT,8000.0,VENTURE,11.86,0.23,26.0,617,Yes
41958,29.0,female,Associate,93433.0,6,MORTGAGE,5000.0,DEBTCONSOLIDATION,8.82,0.05,7.0,669,No
3511,25.0,male,High School,42790.0,2,RENT,10500.0,DEBTCONSOLIDATION,7.29,0.25,3.0,643,Yes
5489,23.0,female,Bachelor,55004.0,3,MORTGAGE,14500.0,EDUCATION,13.48,0.26,2.0,634,Yes
24308,27.0,female,Associate,86469.0,4,MORTGAGE,9000.0,VENTURE,6.54,0.1,6.0,600,Yes
41336,27.0,female,Master,52146.0,5,RENT,12000.0,MEDICAL,11.7,0.23,5.0,715,No
28553,28.0,female,High School,94138.0,6,RENT,6000.0,DEBTCONSOLIDATION,7.66,0.06,9.0,675,No
15460,23.0,male,Bachelor,165490.0,0,MORTGAGE,11400.0,EDUCATION,9.63,0.07,2.0,619,Yes
40184,30.0,male,Bachelor,121091.0,8,MORTGAGE,1926.0,MEDICAL,6.99,0.02,5.0,684,Yes
1400,22.0,male,Associate,49775.0,0,RENT,1000.0,VENTURE,6.91,0.02,2.0,661,Yes
3119,23.0,male,Associate,43768.0,0,MORTGAGE,9000.0,EDUCATION,7.49,0.21,3.0,544,Yes
18559,27.0,male,Associate,62708.0,4,RENT,18000.0,EDUCATION,14.96,0.29,8.0,693,No
17951,31.0,male,Bachelor,147383.0,11,RENT,25600.0,EDUCATION,15.96,0.17,7.0,667,Yes
25808,28.0,male,High School,94634.0,3,MORTGAGE,24000.0,HOMEIMPROVEMENT,11.83,0.25,7.0,625,No
12618,25.0,male,Bachelor,102231.0,5,MORTGAGE,20000.0,MEDICAL,15.27,0.2,3.0,672,Yes
27822,27.0,female,Bachelor,293595.0,7,OTHER,15000.0,VENTURE,14.42,0.05,5.0,696,Yes
27316,27.0,male,Bachelor,143893.0,9,MORTGAGE,30000.0,DEBTCONSOLIDATION,18.25,0.21,7.0,618,No
24321,31.0,male,Associate,80028.0,9,MORTGAGE,2400.0,HOMEIMPROVEMENT,9.91,0.03,5.0,557,No
8237,25.0,male,Master,44481.0,0,RENT,7500.0,DEBTCONSOLIDATION,13.49,0.17,4.0,605,No
11964,24.0,female,Associate,94627.0,4,MORTGAGE,3600.0,DEBTCONSOLIDATION,5.42,0.04,4.0,623,Yes
1143,23.0,male,Master,31178.0,1,OWN,4000.0,MEDICAL,15.27,0.13,4.0,649,Yes
15725,26.0,male,High School,111102.0,1,RENT,15450.0,MEDICAL,10.91,0.14,3.0,624,No
2320,25.0,female,High School,33654.0,5,RENT,2500.0,EDUCATION,16.69,0.07,2.0,575,Yes
20626,32.0,male,Associate,31222.0,9,RENT,9800.0,HOMEIMPROVEMENT,12.23,0.31,8.0,691,No
15644,24.0,male,Bachelor,180751.0,0,MORTGAGE,15000.0,MEDICAL,11.01,0.08,2.0,684,Yes
12782,24.0,male,Associate,87025.0,0,RENT,12000.0,MEDICAL,7.88,0.14,4.0,594,Yes
3122,22.0,female,Master,43610.0,0,MORTGAGE,4000.0,EDUCATION,12.53,0.09,2.0,651,Yes
29141,43.0,female,High School,89491.0,19,RENT,30600.0,DEBTCONSOLIDATION,18.79,0.34,17.0,648,No
22202,32.0,male,Bachelor,64501.0,14,MORTGAGE,6800.0,EDUCATION,12.84,0.11,7.0,633,Yes
6425,24.0,female,High School,48971.0,4,RENT,6000.0,MEDICAL,11.01,0.12,3.0,635,Yes
22823,29.0,male,High School,49403.0,4,RENT,7800.0,MEDICAL,8.88,0.16,10.0,642,Yes
12434,26.0,male,Associate,53501.0,4,RENT,12000.0,PERSONAL,10.37,0.22,2.0,644,No
6576,23.0,male,Master,51603.0,2,RENT,6000.0,PERSONAL,12.41,0.12,4.0,629,No
33269,24.0,female,Associate,112475.0,1,MORTGAGE,3000.0,DEBTCONSOLIDATION,7.5,0.03,4.0,698,Yes
4306,26.0,female,Bachelor,64636.0,4,RENT,4600.0,DEBTCONSOLIDATION,15.62,0.07,4.0,633,No
