,person_age,person_gender,person_education,person_income,person_emp_exp,person_home_ownership,loan_amnt,loan_intent,loan_int_rate,loan_percent_income,cb_person_cred_hist_length,credit_score,previous_loan_defaults_on_file
0,32.0,female,Bachelor,38947.0,11,OWN,4000.0,VENTURE,10.78,0.1,5.0,647,Yes
1,37.0,male,Master,56307.0,15,RENT,6000.0,EDUCATION,11.49,0.11,13.0,652,Yes
2,25.0,male,High School,96839.0,1,RENT,6000.0,VENTURE,8.0,0.06,4.0,661,Yes
3,35.0,male,Associate,138813.0,9,RENT,2850.0,HOMEIMPROVEMENT,8.57,0.02,11.0,616,Yes
4,26.0,male,Bachelor,97887.0,4,MORTGAGE,9600.0,HOMEIMPROVEMENT,11.01,0.1,3.0,580,No
5,24.0,male,Associate,46989.0,4,RENT,5000.0,MEDICAL,10.99,0.11,2.0,545,Yes
6,23.0,male,High School,43273.0,1,RENT,10000.0,VENTURE,7.29,0.23,4.0,669,No
7,25.0,female,Master,52802.0,1,RENT,12000.0,VENTURE,12.9,0.23,3.0,693,Yes
8,26.0,female,Associate,65711.0,4,RENT,6600.0,PERSONAL,11.97,0.1,4.0,641,Yes
9,24.0,female,Bachelor,112996.0,2,RENT,6400.0,VENTURE,13.23,0.06,3.0,534,Yes
10,24.0,female,Master,397048.0,0,MORTGAGE,3500.0,PERSONAL,10.36,0.01,4.0,714,Yes
11,24.0,male,High School,58262.0,0,RENT,5000.0,VENTURE,9.59,0.09,4.0,590,Yes
12,22.0,male,High School,73248.0,0,RENT,6600.0,DEBTCONSOLIDATION,10.59,0.09,2.0,686,No
13,30.0,female,High School,90935.0,12,RENT,16000.0,EDUCATION,8.9,0.18,10.0,637,Yes
14,33.0,female,High School,87740.0,12,MORTGAGE,5000.0,VENTURE,6.99,0.06,7.0,558,Yes
15,22.0,female,High School,78873.0,2,MORTGAGE,8100.0,DEBTCONSOLIDATION,13.11,0.1,4.0,655,No
16,22.0,female,Associate,60835.0,1,RENT,3000.0,PERSONAL,10.99,0.05,3.0,588,No
17,23.0,male,High School,36735.0,2,RENT,4000.0,DEBTCONSOLIDATION,10.36,0.11,3.0,674,Yes
18,25.0,male,Associate,35579.0,0,RENT,6800.0,EDUCATION,9.63,0.19,3.0,661,Yes
19,45.0,male,High School,58506.0,20,MORTGAGE,8000.0,HOMEIMPROVEMENT,9.63,0.14,13.0,679,Yes
20,23.0,female,High School,74746.0,0,OWN,6125.0,MEDICAL,8.59,0.08,4.0,611,Yes
21,26.0,male,Associate,139038.0,3,RENT,2985.0,HOMEIMPROVEMENT,13.93,0.02,4.0,647,Yes
22,29.0,male,High School,40665.0,11,RENT,10000.0,DEBTCONSOLIDATION,5.79,0.25,7.0,557,Yes
23,21.0,male,Bachelor,58366.0,0,MORTGAGE,7350.0,VENTURE,10.65,0.13,2.0,677,Yes
24,35.0,female,Bachelor,84973.0,13,MORTGAGE,8443.0,DEBTCONSOLIDATION,9.28,0.1,13.0,630,Yes
25,29.0,female,Bachelor,91066.0,8,MORTGAGE,6125.0,EDUCATION,11.01,0.07,8.0,591,Yes
26,29.0,male,Associate,87495.0,7,MORTGAGE,16800.0,VENTURE,15.62,0.19,9.0,570,Yes
27,31.0,male,Master,48983.0,11,OWN,2200.0,EDUCATION,11.01,0.04,7.0,713,No
28,26.0,female,Master,79118.0,4,RENT,4200.0,HOMEIMPROVEMENT,7.29,0.05,2.0,655,Yes
29,24.0,female,Associate,96975.0,4,MORTGAGE,25000.0,PERSONAL,14.46,0.26,2.0,619,Yes
30,39.0,male,Bachelor,47070.0,16,RENT,3000.0,DEBTCONSOLIDATION,11.07,0.06,16.0,611,Yes
31,36.0,male,Associate,87351.0,13,RENT,10000.0,PERSONAL,11.49,0.11,14.0,644,Yes
32,53.0,male,Bachelor,128167.0,28,MORTGAGE,20000.0,PERSONAL,9.88,0.16,23.0,626,Yes
33,23.0,female,High School,36895.0,1,RENT,3000.0,VENTURE,7.49,0.08,2.0,570,No
34,27.0,female,Doctorate,70971.0,4,RENT,6000.0,HOMEIMPROVEMENT,12.9,0.08,4.0,681,Yes
35,24.0,female,Associate,106427.0,0,MORTGAGE,6727.0,PERSONAL,11.43,0.06,4.0,575,Yes
36,22.0,female,High School,69208.0,0,MORTGAGE,7500.0,PERSONAL,10.25,0.11,2.0,631,Yes
37,35.0,male,Master,190571.0,9,OWN,10000.0,EDUCATION,9.63,0.05,10.0,557,Yes
38,21.0,male,Bachelor,33082.0,0,RENT,2600.0,PERSONAL,13.22,0.08,2.0,671,Yes
39,36.0,female,Bachelor,55018.0,10,MORTGAGE,7000.0,EDUCATION,7.14,0.13,14.0,683,No
40,25.0,male,Associate,82588.0,0,OWN,6000.0,HOMEIMPROVEMENT,12.42,0.07,4.0,620,Yes
41,24.0,female,Bachelor,54185.0,2,OWN,6000.0,VENTURE,15.96,0.11,4.0,664,Yes
42,24.0,female,High School,79415.0,1,RENT,3200.0,HOMEIMPROVEMENT,9.99,0.04,4.0,626,No
43,21.0,male,Bachelor,50455.0,0,OWN,8000.0,PERSONAL,11.48,0.16,3.0,479,Yes
44,26.0,male,Bachelor,83903.0,3,RENT,11000.0,EDUCATION,12.16,0.13,4.0,591,No
45,22.0,male,Bachelor,66994.0,0,OWN,1275.0,PERSONAL,6.91,0.02,4.0,619,No
46,22.0,male,Associate,51506.0,0,OWN,12000.0,EDUCATION,11.01,0.23,3.0,546,Yes
47,33.0,female,Associate,44087.0,9,RENT,5000.0,VENTURE,9.14,0.11,10.0,683,Yes
48,24.0,male,Bachelor,64536.0,3,RENT,8997.0,VENTURE,11.95,0.14,3.0,592,Yes
49,25.0,male,Master,42545.0,3,RENT,5000.0,VENTURE,13.49,0.12,4.0,692,Yes
50,23.0,female,Master,115033.0,3,MORTGAGE,12000.0,VENTURE,11.99,0.1,3.0,684,No
51,23.0,female,High School,49287.0,0,RENT,6000.0,MEDICAL,11.1,0.12,4.0,663,Yes
52,31.0,female,Bachelor,70692.0,11,OWN,6200.0,PERSONAL,10.65,0.09,6.0,639,No
53,28.0,female,Master,61060.0,4,RENT,15000.0,PERSONAL,7.49,0.25,8.0,639,No
54,24.0,male,Bachelor,63235.0,0,MORTGAGE,7000.0,PERSONAL,7.49,0.11,3.0,681,No
55,24.0,male,Associate,55179.0,0,RENT,3000.0,MEDICAL,10.83,0.05,4.0,585,Yes
56,22.0,female,Master,55043.0,0,RENT,4000.0,EDUCATION,12.96,0.07,3.0,544,No
57,31.0,male,Bachelor,70077.0,8,MORTGAGE,12000.0,DEBTCONSOLIDATION,6.62,0.17,9.0,692,No
58,24.0,female,Associate,64519.0,0,MORTGAGE,6400.0,EDUCATION,13.67,0.1,2.0,640,Yes
59,26.0,male,Associate,174718.0,2,RENT,10000.0,DEBTCONSOLIDATION,10.99,0.06,3.0,628,Yes
60,26.0,male,High School,74093.0,5,RENT,2000.0,MEDICAL,7.9,0.03,3.0,546,Yes
61,25.0,female,High School,81112.0,0,RENT,7000.0,EDUCATION,8.94,0.09,4.0,672,No
62,26.0,female,High School,29511.0,6,MORTGAGE,6000.0,HOMEIMPROVEMENT,10.99,0.2,4.0,578,No
63,31.0,female,High School,216989.0,7,MORTGAGE,9000.0,VENTURE,14.27,0.04,6.0,655,Yes
64,26.0,male,Associate,58359.0,6,RENT,3000.0,MEDICAL,10.14,0.05,3.0,605,Yes
65,28.0,female,High School,104042.0,10,MORTGAGE,15000.0,EDUCATION,10.62,0.14,10.0,599,Yes
66,30.0,male,High School,41173.0,7,OWN,3000.0,MEDICAL,10.2,0.07,8.0,661,Yes
67,23.0,male,High School,101894.0,2,RENT,6000.0,VENTURE,6.99,0.06,3.0,673,No
68,26.0,male,High School,86149.0,3,RENT,13500.0,MEDICAL,12.69,0.16,3.0,637,Yes
69,23.0,female,High School,44260.0,2,MORTGAGE,14000.0,PERSONAL,12.99,0.32,3.0,612,Yes
70,23.0,male,Associate,45477.0,0,RENT,5000.0,VENTURE,9.98,0.11,4.0,618,Yes
71,24.0,male,High School,112552.0,1,RENT,9800.0,HOMEIMPROVEMENT,11.58,0.09,4.0,557,Yes
72,25.0,male,Associate,136527.0,3,MORTGAGE,21158.0,MEDICAL,10.55,0.15,4.0,622,Yes
73,22.0,male,Associate,77960.0,4,MORTGAGE,9200.0,PERSONAL,13.43,0.12,3.0,622,Yes
74,22.0,female,Bachelor,56906.0,0,RENT,5000.0,VENTURE,10.37,0.09,4.0,537,Yes
