,loan_status
30159,0
6777,1
36563,0
11784,0
10370,1
14473,0
10512,0
7651,0
32433,0
41958,0
3511,0
5489,0
24308,0
41336,0
28553,0
15460,0
40184,0
1400,0
3119,0
18559,1
17951,0
25808,1
12618,0
27822,0
27316,1
24321,1
8237,0
11964,0
1143,0
15725,1
2320,0
20626,1
15644,0
12782,0
3122,0
29141,1
22202,0
6425,0
22823,0
12434,0
6576,1
33269,0
4306,1
4865,0
37803,0
36546,0
34075,0
29712,1
913,0
10279,1
23759,0
895,1
18160,0
9128,0
31840,0
673,0
12487,0
10090,1
1830,1
23512,0
26647,0
7241,0
28014,0
26420,1
15296,0
6594,1
22635,0
11856,0
26738,1
41639,0
22795,0
38284,0
22478,0
42797,1
436,1
29186,0
26648,1
31977,0
40919,0
14005,0
3921,1
44309,1
29025,0
36858,0
1274,1
13166,0
44343,1
32976,0
12538,0
37205,0
42610,1
22518,0
1351,0
1521,1
15239,0
36328,0
104,1
30944,0
37973,0
4825,0
30997,0
43049,1
39376,0
12981,1
4972,1
15394,0
35700,0
22255,1
22971,1
21728,1
16426,0
24929,0
15751,1
18247,0
41761,0
3994,0
36557,0
23503,0
7209,0
8575,0
27451,0
34442,0
42147,1
34475,0
44679,1
16890,0
1494,0
8377,0
42521,1
38092,0
32497,0
9998,0
4272,0
41720,0
12044,1
32749,0
8970,0
9427,0
31799,0
29949,0
24152,0
3222,0
42508,1
15814,0
19217,1
38279,0
7356,0
30727,0
10020,0
34490,0
3611,1
19588,0
7174,0
11489,0
5330,0
17860,1
12068,0
40338,0
43574,1
462,0
17784,0
30054,0
31093,0
2084,1
8246,0
29050,0
5427,0
23520,0
34925,0
39686,0
2318,0
353,0
4984,0
36014,0
3700,1
16927,0
41699,0
39357,0
996,1
31983,0
23048,0
36392,0
30731,0
36460,0
38028,0
7623,0
42837,1
4502,1
26688,0
13883,0
23737,0
31080,0
25561,0
44387,1
1100,1
2012,1
26402,0
21202,0
29322,0
21585,0
39172,0
3362,1
14830,1
38747,0
41698,0
38609,0
24678,0
25387,0
37241,0
15603,1
15444,0
11709,0
42572,1
36372,0
17034,0
8180,0
15864,0
5763,0
37031,0
20094,1
43061,1
15738,0
13969,0
44135,1
29946,0
1281,0
12071,0
1163,0
27344,0
5633,0
43478,1
32699,0
9253,0
13630,0
23680,0
9858,0
20680,0
6788,0
7387,1
2954,0
32107,1
24757,0
35047,0
37037,0
25083,1
25716,0
21111,0
26060,0
26454,0
3701,1
6,1
42477,1
3272,1
8215,1
16386,0
10413,0
23294,0
13914,1
34127,0
16348,0
41283,0
35781,0
10031,0
30704,0
6636,0
39177,0
39470,0
15731,0
34804,0
26695,0
4745,0
12135,0
32814,0
15572,0
39972,0
31614,0
32309,1
41121,0
1103,0
32487,1
8555,1
40854,0
9898,0
783,0
26869,0
42044,0
42160,1
42148,1
2521,1
43621,1
12753,0
35392,0
41312,0
44547,1
6649,0
9778,1
5086,0
2932,0
7620,0
15384,0
39946,0
22832,0
14091,0
17915,0
30537,1
29824,0
31148,0
30599,0
6462,0
10490,1
1255,0
20582,0
26652,1
12966,0
20663,0
38888,0
29004,1
43095,1
29474,0
2280,1
41340,0
12469,0
34759,0
13754,0
9704,1
5777,0
27993,0
25660,0
20691,0
25124,0
15914,0
40666,0
18778,0
12168,1
25144,1
14725,0
26310,0
20190,0
40428,0
8318,0
11684,0
25944,1
11045,0
18870,0
34205,0
21324,0
11598,1
19168,0
32100,0
11102,0
8760,1
9170,0
20339,0
26622,0
24478,0
29539,0
32204,0
29738,1
5747,0
40792,0
40620,0
20869,0
11532,0
28748,1
844,0
38054,0
34040,0
28321,0
26482,0
35604,0
18115,0
10587,0
22909,0
20160,0
43159,1
42750,1
11309,0
39265,0
7519,1
30173,1
8622,0
1330,0
39201,0
9512,0
23837,1
42179,1
7545,0
37393,0
28775,0
39630,0
20188,1
27548,1
43388,1
44818,1
22546,0
28778,0
44062,1
30014,0
17817,0
31165,1
35761,0
27582,0
34027,0
18123,0
38052,0
14712,1
41587,0
37768,0
41016,0
33738,0
24692,1
31056,0
16266,0
5575,0
14058,0
17678,1
15079,0
39909,0
36213,0
28009,0
32774,0
2750,0
25668,0
10501,0
12144,0
34312,0
12600,0
39049,0
35114,0
25713,1
2923,0
16334,0
24190,0
24339,0
25269,0
39242,0
23297,0
18424,0
27762,0
40457,0
26037,0
39371,0
25597,0
31757,0
13208,0
33857,0
25384,0
14737,1
1660,0
37277,0
40094,0
8119,0
30092,0
28593,0
36082,0
2758,0
14085,0
3848,0
18370,1
41246,0
36657,0
5684,0
41069,0
4945,1
4266,0
24049,0
42043,0
16181,0
14054,1
13834,1
33102,0
23166,0
13089,0
6127,0
7864,0
3687,1
14545,1
34813,0
15459,0
38137,0
13321,0
7123,0
18010,1
38111,0
8385,0
34352,0
13154,0
15665,1
17136,0
16814,0
33240,0
5794,1
10260,1
29660,1
3047,1
27137,1
36139,0
43571,1
2441,1
17398,0
18954,0
6392,0
27865,0
37169,0
12110,0
12607,0
40602,0
37613,0
34887,0
5016,0
39589,0
31341,0
14148,0
19700,1
11237,0
44084,1
43824,1
9708,1
43043,1
14782,1
26871,0
34769,0
15140,0
24428,0
30469,0
38576,0
23893,1
19102,0
18536,1
42736,1
12372,0
40406,0
19753,0
20613,0
21680,0
33582,0
12843,0
15452,0
26603,0
21897,0
127,1
26836,0
44250,1
23014,0
26110,0
36599,0
1572,0
6657,0
43836,1
16293,0
10359,1
41086,0
18956,0
29663,0
39451,0
22871,0
43382,1
24273,0
