iter	MultiClass
0	0.6362666891
1	0.5884642933
2	0.5497048127
3	0.515989457
4	0.4864517096
5	0.4624985503
6	0.4397518523
7	0.4205080451
8	0.4007085122
9	0.3857305538
10	0.3725933187
11	0.3581517935
12	0.3450661285
13	0.3348989956
14	0.3247981964
15	0.3156837106
16	0.307727041
17	0.3013729892
18	0.294709995
19	0.2886180295
20	0.2834630999
21	0.2798192429
22	0.2755944176
23	0.2720231801
24	0.2692048625
25	0.2649174044
26	0.2621820296
27	0.2591566723
28	0.2571346327
29	0.2552796017
30	0.2532640864
31	0.2505423173
32	0.2483068958
33	0.2463851036
34	0.2435661859
35	0.2416055462
36	0.2395912281
37	0.2382080563
38	0.2368757855
39	0.2351607918
40	0.2338728096
41	0.2326244568
42	0.231188493
43	0.2303726902
44	0.229250426
45	0.2282254184
46	0.2270868597
47	0.2258711422
48	0.2249724364
49	0.2241807782
50	0.2231602184
51	0.2225961623
52	0.2214573261
53	0.2207721182
54	0.220335815
55	0.2196691229
56	0.2191108133
57	0.2184114596
58	0.2176724021
59	0.2171524219
60	0.2167090661
61	0.2160814481
62	0.2153489952
63	0.2147212915
64	0.2142617737
65	0.2138100583
66	0.2134016472
67	0.2128104049
68	0.2123920337
69	0.2118727094
70	0.2114199292
71	0.2107599666
72	0.210188889
73	0.2098250797
74	0.2094496976
75	0.2091673461
76	0.2088249777
77	0.2082628706
78	0.2079551523
79	0.2076341748
80	0.2073010038
81	0.2070513377
82	0.2067876569
83	0.2063781017
84	0.206054176
85	0.205598234
86	0.2053450934
87	0.2048405708
88	0.2047274682
89	0.204477993
90	0.2041926755
91	0.2038408803
92	0.2035166471
93	0.203264613
94	0.2028918202
95	0.2026195958
96	0.2022627463
97	0.2018392185
98	0.2015111227
99	0.201037181
100	0.2006034778
101	0.200349473
102	0.1999937671
103	0.1998246896
104	0.1996920464
105	0.1991235481
106	0.1988370811
107	0.198419509
108	0.1981787769
109	0.1977937291
110	0.1975276288
111	0.1971974052
112	0.1968394138
113	0.1963839464
114	0.1960950086
115	0.1953579898
116	0.1950106989
117	0.1946352318
118	0.1942659821
119	0.1940429114
120	0.1937123125
121	0.1933527859
122	0.1931686112
123	0.1929176246
124	0.1924326982
125	0.1922096699
126	0.1916452866
127	0.1911769777
128	0.1910302262
129	0.1907404164
130	0.1904490858
131	0.190007745
132	0.1897313154
133	0.1893346334
134	0.1891390679
135	0.1889279407
136	0.1888136121
137	0.1884436579
138	0.1882185007
139	0.1878893339
140	0.1876007551
141	0.1872180449
142	0.1868387418
143	0.1864793945
144	0.1863000879
145	0.1860115459
146	0.185680808
147	0.185335201
148	0.1850966695
149	0.1848606297
150	0.1846884187
151	0.1844298801
152	0.1841772014
153	0.1840802817
154	0.1840318345
155	0.183875226
156	0.1835654418
157	0.1834161727
158	0.1832002423
159	0.1831886601
160	0.1829373093
161	0.1827288282
162	0.1824867753
163	0.1822918663
164	0.1818948141
165	0.1813776191
166	0.1811880758
167	0.1809889202
168	0.1807648777
169	0.1805311913
170	0.1803516819
171	0.1802737738
172	0.1799769676
173	0.179769814
174	0.1796078502
175	0.1793744031
176	0.1790907206
177	0.178929562
178	0.1787128061
179	0.1784927951
180	0.1782395518
181	0.1780375243
182	0.1777206782
183	0.1774856506
184	0.1773526465
185	0.1770271854
186	0.1768962704
187	0.1767006635
188	0.1765304028
189	0.176329178
190	0.1760503525
191	0.1760469916
192	0.1757090412
193	0.1754360506
194	0.1751519333
195	0.175057625
196	0.1747979938
197	0.1744794865
198	0.1743235466
199	0.1741826661
