iter	Passed	Remaining
0	3	599
1	6	610
2	10	702
3	14	714
4	18	724
5	22	735
6	26	731
7	30	741
8	35	749
9	39	745
10	43	751
11	47	745
12	51	737
13	54	728
14	58	720
15	62	714
16	66	713
17	70	709
18	74	707
19	78	706
20	82	701
21	86	699
22	90	694
23	94	693
24	98	689
25	102	683
26	105	676
27	110	678
28	114	675
29	118	671
30	122	666
31	126	662
32	130	660
33	134	658
34	139	657
35	143	653
36	148	652
37	152	649
38	156	644
39	160	641
40	164	636
41	167	631
42	171	627
43	175	622
44	179	618
45	181	606
46	185	603
47	189	600
48	193	596
49	197	592
50	201	588
51	205	584
52	209	581
53	213	577
54	217	572
55	221	569
56	225	565
57	229	561
58	233	557
59	237	553
60	241	550
61	245	546
62	249	542
63	253	538
64	257	535
65	261	531
66	266	528
67	270	524
68	274	520
69	278	516
70	282	512
71	286	509
72	291	507
73	296	504
74	300	500
75	303	495
76	308	492
77	312	488
78	316	484
79	320	480
80	324	476
81	328	473
82	332	469
83	337	465
84	341	461
85	345	457
86	351	456
87	355	453
88	360	449
89	365	446
90	369	442
91	374	439
92	379	436
93	383	432
94	388	429
95	393	426
96	398	422
97	403	419
98	408	416
99	413	413
100	418	409
101	422	406
102	428	403
103	433	400
104	438	396
105	443	393
106	448	389
107	454	386
108	459	383
109	464	379
110	469	376
111	474	372
112	479	369
113	484	365
114	488	361
115	493	357
116	498	353
117	503	349
118	508	346
119	512	341
120	517	337
121	521	333
122	525	329
123	529	324
124	533	320
125	537	315
126	541	311
127	546	307
128	550	303
129	555	299
130	559	294
131	563	290
132	567	285
133	571	281
134	575	277
135	579	272
136	583	268
137	587	264
138	592	259
139	596	255
140	600	251
141	604	246
142	609	242
143	613	238
144	617	234
145	622	230
146	627	226
147	631	221
148	635	217
149	640	213
150	644	209
151	648	204
152	652	200
153	656	196
154	660	191
155	664	187
156	668	183
157	672	178
158	676	174
159	680	170
160	684	165
161	688	161
162	692	157
163	696	152
164	700	148
165	704	144
166	709	140
167	713	135
168	716	131
169	721	127
170	725	122
171	728	118
172	732	114
173	737	110
174	741	105
175	745	101
176	750	97
177	754	93
178	758	88
179	762	84
180	766	80
181	770	76
182	774	71
183	778	67
184	782	63
185	787	59
186	791	55
187	795	50
188	799	46
189	804	42
190	808	38
191	809	33
192	814	29
193	818	25
194	823	21
195	827	16
196	831	12
197	835	8
198	839	4
199	843	0
